seconds,data1,data2,data3,data4,data5,data6,data7,data8,data9
14.456,1612.115291,2140.889106,2140.889106,2140.889106,2140.889106,2140.889106,30.44,19.04,15.82
14.458,1583.097215,1850.708354,1850.708354,1850.708354,1850.708354,1850.708354,28.24,18.75,16.41
14.46,1625.012213,2369.809477,2369.809477,2369.809477,2369.809477,2369.809477,28.24,18.75,16.41
14.462,1663.70298,2543.917929,2543.917929,2543.917929,2543.917929,2543.917929,28.24,18.75,16.41
14.464,1660.478749,1663.70298,1663.70298,1663.70298,1663.70298,1663.70298,28.24,18.75,16.41
14.466,1679.824133,973.7176356,973.7176356,973.7176356,973.7176356,973.7176356,28.24,18.75,16.41
14.468,1699.169516,951.1480215,951.1480215,951.1480215,951.1480215,951.1480215,28.24,18.75,16.41
14.47,1689.496825,1063.996092,1063.996092,1063.996092,1063.996092,1063.996092,28.24,18.75,16.41
14.472,1647.581827,1202.638007,1202.638007,1202.638007,1202.638007,1202.638007,28.24,18.75,16.41
14.474,1631.460674,1831.36297,1831.36297,1831.36297,1831.36297,1831.36297,28.24,18.75,16.41
14.476,1631.460674,1618.563752,1618.563752,1618.563752,1618.563752,1618.563752,28.24,18.75,16.41
14.478,1612.115291,1421.885686,1421.885686,1421.885686,1421.885686,1421.885686,28.24,18.75,16.41
14.48,1599.218368,1512.164143,1512.164143,1512.164143,1512.164143,1512.164143,28.24,18.75,16.41
14.482,1615.339521,1686.272594,1686.272594,1686.272594,1686.272594,1686.272594,28.24,18.75,16.41
14.484,1641.133366,1647.581827,1647.581827,1647.581827,1647.581827,1647.581827,0,0,0
14.486,1654.030288,1518.612604,1518.612604,1518.612604,1518.612604,1518.612604,0,0,0
14.488,1673.375672,1550.85491,1550.85491,1550.85491,1550.85491,1550.85491,0,0,0
14.49,1705.617978,1766.878359,1766.878359,1766.878359,1766.878359,1766.878359,0,0,0
14.492,1683.048363,1950.659502,1950.659502,1950.659502,1950.659502,1950.659502,0,0,0
14.494,1657.254519,1937.762579,1937.762579,1937.762579,1937.762579,1937.762579,0,0,0
14.496,1654.030288,1940.98681,1940.98681,1940.98681,1940.98681,1940.98681,0,0,0
14.498,1647.581827,1889.399121,1889.399121,1889.399121,1889.399121,1889.399121,0,0,0
14.5,1673.375672,1728.187592,1728.187592,1728.187592,1728.187592,1728.187592,0,0,0
14.502,1724.963361,1541.182218,1541.182218,1541.182218,1541.182218,1541.182218,0,0,0
14.504,1712.066439,1618.563752,1618.563752,1618.563752,1618.563752,1618.563752,0,0,0
14.506,1692.721055,1663.70298,1663.70298,1663.70298,1663.70298,1663.70298,0,0,0
14.508,1679.824133,2595.505618,2595.505618,2595.505618,2595.505618,2595.505618,0,0,0
14.51,1660.478749,2540.693698,2540.693698,2540.693698,2540.693698,2540.693698,26.03,18.16,17.58
14.512,1608.89106,2611.626771,2611.626771,2611.626771,2611.626771,2611.626771,26.03,18.16,17.58
14.514,1592.769907,2434.294089,2434.294089,2434.294089,2434.294089,2434.294089,26.03,18.16,17.58
14.516,1599.218368,2144.113337,2144.113337,2144.113337,2144.113337,2144.113337,26.03,18.16,17.58
14.518,1634.684905,1828.13874,1828.13874,1828.13874,1828.13874,1828.13874,26.03,18.16,17.58
14.52,1641.133366,899.5603322,899.5603322,899.5603322,899.5603322,899.5603322,26.03,18.16,17.58
14.522,1634.684905,177.332682,177.332682,177.332682,177.332682,177.332682,26.03,18.16,17.58
14.524,1612.115291,567.4645823,567.4645823,567.4645823,567.4645823,567.4645823,26.03,18.16,17.58
14.526,1618.563752,976.9418661,976.9418661,976.9418661,976.9418661,976.9418661,26.03,18.16,17.58
14.528,1641.133366,1350.952614,1350.952614,1350.952614,1350.952614,1350.952614,26.03,18.16,17.58
14.53,1654.030288,1879.726429,1879.726429,1879.726429,1879.726429,1879.726429,26.03,18.16,17.58
14.532,1650.806058,1815.241817,1815.241817,1815.241817,1815.241817,1815.241817,26.03,18.16,17.58
14.534,1650.806058,1518.612604,1518.612604,1518.612604,1518.612604,1518.612604,26.03,18.16,17.58
14.536,1666.927211,1431.558378,1431.558378,1431.558378,1431.558378,1431.558378,26.03,16.41,15.82
14.538,1663.70298,1467.024915,1467.024915,1467.024915,1467.024915,1467.024915,26.03,16.41,15.82
14.54,1670.151441,1338.055691,1338.055691,1338.055691,1338.055691,1338.055691,26.03,16.41,15.82
14.542,1644.357596,1676.599902,1676.599902,1676.599902,1676.599902,1676.599902,26.03,16.41,15.82
14.544,1666.927211,2057.059111,2057.059111,2057.059111,2057.059111,2057.059111,26.03,16.41,15.82
14.546,1670.151441,1970.004885,1970.004885,1970.004885,1970.004885,1970.004885,26.03,16.41,15.82
14.548,1654.030288,1744.308745,1744.308745,1744.308745,1744.308745,1744.308745,26.03,16.41,15.82
14.55,1641.133366,1347.728383,1347.728383,1347.728383,1347.728383,1347.728383,26.03,16.41,15.82
14.552,1637.909135,1534.733757,1534.733757,1534.733757,1534.733757,1534.733757,26.03,16.41,15.82
14.554,1666.927211,2037.713727,2037.713727,2037.713727,2037.713727,2037.713727,26.03,16.41,15.82
14.556,1660.478749,2431.069858,2431.069858,2431.069858,2431.069858,2431.069858,26.03,16.41,15.82
14.558,1637.909135,1576.648754,1576.648754,1576.648754,1576.648754,1576.648754,26.03,16.41,15.82
14.56,1637.909135,1025.305325,1025.305325,1025.305325,1025.305325,1025.305325,26.03,16.41,15.82
14.562,1679.824133,1666.927211,1666.927211,1666.927211,1666.927211,1666.927211,0,0,0
14.564,1718.5149,2624.523693,2624.523693,2624.523693,2624.523693,2624.523693,0,0,0
14.566,1663.70298,2682.559844,2682.559844,2682.559844,2682.559844,2682.559844,0,0,0
14.568,1628.236444,2302.100635,2302.100635,2302.100635,2302.100635,2302.100635,0,0,0
14.57,1592.769907,432.0468979,432.0468979,432.0468979,432.0468979,432.0468979,0,0,0
14.572,1644.357596,328.8715193,328.8715193,328.8715193,328.8715193,328.8715193,0,0,0
14.574,1647.581827,1109.13532,1109.13532,1109.13532,1109.13532,1109.13532,0,0,0
14.576,1628.236444,1792.672203,1792.672203,1792.672203,1792.672203,1792.672203,0,0,0
14.578,1618.563752,2543.917929,2543.917929,2543.917929,2543.917929,2543.917929,0,0,0
14.58,1625.012213,1870.053737,1870.053737,1870.053737,1870.053737,1870.053737,0,0,0
14.582,1631.460674,1476.697606,1476.697606,1476.697606,1476.697606,1476.697606,0,0,0
14.584,1660.478749,2198.925256,2198.925256,2198.925256,2198.925256,2198.925256,0,0,0
14.586,1683.048363,1721.73913,1721.73913,1721.73913,1721.73913,1721.73913,0,0,0
14.588,1741.084514,1260.674157,1260.674157,1260.674157,1260.674157,1260.674157,26.47,18.46,16.41
14.59,1708.842208,1731.411822,1731.411822,1731.411822,1731.411822,1731.411822,26.47,18.46,16.41
14.592,1637.909135,1186.516854,1186.516854,1186.516854,1186.516854,1186.516854,26.47,18.46,16.41
14.594,1647.581827,999.5114802,999.5114802,999.5114802,999.5114802,999.5114802,26.47,18.46,16.41
14.596,1666.927211,1782.999511,1782.999511,1782.999511,1782.999511,1782.999511,26.47,18.46,16.41
14.598,1608.89106,2098.974108,2098.974108,2098.974108,2098.974108,2098.974108,26.47,18.46,16.41
14.6,1573.424524,2179.579873,2179.579873,2179.579873,2179.579873,2179.579873,26.47,18.46,16.41
14.602,1602.442599,1782.999511,1782.999511,1782.999511,1782.999511,1782.999511,26.47,18.46,16.41
14.604,1660.478749,1183.292623,1183.292623,1183.292623,1183.292623,1183.292623,26.47,18.46,16.41
14.606,1712.066439,1467.024915,1467.024915,1467.024915,1467.024915,1467.024915,26.47,18.46,16.41
14.608,1702.393747,2018.368344,2018.368344,2018.368344,2018.368344,2018.368344,26.47,18.46,16.41
14.61,1654.030288,2211.822179,2211.822179,2211.822179,2211.822179,2211.822179,26.47,18.46,16.41
14.612,1589.545677,1515.388373,1515.388373,1515.388373,1515.388373,1515.388373,26.47,18.46,16.41
14.614,1599.218368,1292.916463,1292.916463,1292.916463,1292.916463,1292.916463,0,0,0
14.616,1634.684905,1199.413776,1199.413776,1199.413776,1199.413776,1199.413776,0,0,0
14.618,1712.066439,1686.272594,1686.272594,1686.272594,1686.272594,1686.272594,0,0,0
14.62,1695.945286,1799.120664,1799.120664,1799.120664,1799.120664,1799.120664,0,0,0
14.622,1647.581827,1812.017587,1812.017587,1812.017587,1812.017587,1812.017587,0,0,0
14.624,1641.133366,1976.453346,1976.453346,1976.453346,1976.453346,1976.453346,0,0,0
14.626,1641.133366,2050.61065,2050.61065,2050.61065,2050.61065,2050.61065,0,0,0
14.628,1641.133366,1689.496825,1689.496825,1689.496825,1689.496825,1689.496825,0,0,0
14.63,1647.581827,980.1660967,980.1660967,980.1660967,980.1660967,980.1660967,0,0,0
14.632,1641.133366,1080.117245,1080.117245,1080.117245,1080.117245,1080.117245,0,0,0
14.634,1641.133366,1486.370298,1486.370298,1486.370298,1486.370298,1486.370298,0,0,0
14.636,1654.030288,1618.563752,1618.563752,1618.563752,1618.563752,1618.563752,0,0,0
14.638,1660.478749,1447.679531,1447.679531,1447.679531,1447.679531,1447.679531,0,0,0
14.64,1650.806058,1512.164143,1512.164143,1512.164143,1512.164143,1512.164143,21.18,19.34,16.99
14.642,1657.254519,1731.411822,1731.411822,1731.411822,1731.411822,1731.411822,21.18,19.34,16.99
14.644,1637.909135,1879.726429,1879.726429,1879.726429,1879.726429,1879.726429,21.18,19.34,16.99
14.646,1618.563752,1744.308745,1744.308745,1744.308745,1744.308745,1744.308745,21.18,19.34,16.99
14.648,1628.236444,2289.203713,2289.203713,2289.203713,2289.203713,2289.203713,21.18,19.34,16.99
14.65,1650.806058,2656.765999,2656.765999,2656.765999,2656.765999,2656.765999,21.18,19.34,16.99
14.652,1666.927211,2482.657548,2482.657548,2482.657548,2482.657548,2482.657548,21.18,19.34,16.99
14.654,1644.357596,1792.672203,1792.672203,1792.672203,1792.672203,1792.672203,21.18,19.34,16.99
14.656,1628.236444,606.1553493,606.1553493,606.1553493,606.1553493,606.1553493,21.18,19.34,16.99
14.658,1637.909135,606.1553493,606.1553493,606.1553493,606.1553493,606.1553493,21.18,19.34,16.99
